TERMS AND CONDITIONS
https://www.bankofcanada.ca/terms/

NAME
"Unemployment rate"

DESCRIPTION
"Scroll down for data."

LINK
"https://www.bankofcanada.ca/?p=201766"

SERIES
id,label,description
1974Q4,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650796890,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795937,0.05650795815,0.05650795815,0.05650795815,0.05650795815,0.05650795815,0.05650795815,0.05650801002,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05574669568,0.05724554357,0.05724554357,0.05724554357,0.05724554357,0.05724554357,0.05724554357,0.05724554357,0.05724554357,0.05724554357,,,,,,,,,,0.05757787841,0.05757787841,0.05757694502,0.05757694502,0.05757694502,0.05757694502,0.05726328648,0.05726328648,0.05726328648,0.05620413423
1975Q1,0.06671414852,0.06671414852,0.06671414852,0.06671414852,0.06671414852,0.06671414852,0.06671414852,0.06708104134,0.06708104134,0.06708104134,0.06708104134,0.06711273193,0.06711273193,0.06711273193,0.06711273193,0.06711500168,0.06711501122,0.06711500168,0.06711500168,0.06711500168,0.06711500168,0.06711500168,0.06711500168,0.06711500168,0.06711500168,0.06711500168,0.06711500168,0.06711500168,0.06711500168,0.06711500168,0.06711500168,0.06711500168,0.06711500168,0.06711500168,0.06711500168,0.06711500168,0.06711500168,0.06711501122,0.06711501122,0.06711501122,0.06711501122,0.06711501122,0.06711501122,0.06706943989,0.06706943989,0.06706944539,0.06706944539,0.06706944539,0.06706944539,0.06706944539,0.06706944539,0.06706943047,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06631392788,0.06779600202,0.06779600202,0.06779600202,0.06779600202,0.06779600202,0.06779600202,0.06779600202,0.06779600202,0.06779600202,,,,,,,,,,0.06812461767,0.06812461767,0.06812369472,0.06812369472,0.06812369472,0.06812369472,0.06781354636,0.06781354636,0.06781354636,0.06676624720
1975Q2,0.06889730930,0.06889730930,0.06889730930,0.06889268875,0.06889268875,0.06889268875,0.06889268875,0.06833423138,0.06833423138,0.06833423138,0.06833423138,0.06833193779,0.06833193779,0.06833193779,0.06833193779,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06830298901,0.06832590103,0.06832590103,0.06832589810,0.06832589810,0.06832589810,0.06832589810,0.06832589810,0.06832589810,0.06832606473,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06756917733,0.06904925896,0.06904925896,0.06904925896,0.06904925896,0.06904925896,0.06904925896,0.06904925896,0.06904925896,0.06904925896,,,,,,,,,,0.06937743282,0.06937743282,0.06937651111,0.06937651111,0.06937651111,0.06937651111,0.06906677972,0.06906677972,0.06906677972,0.06802088855
1975Q3,0.07031613827,0.07031613827,0.07031613827,0.07031613827,0.07031613827,0.07031613827,0.07031613827,0.07006199837,0.07006199837,0.07006199837,0.07006199837,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006435871,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07006433010,0.07004097939,0.07004097939,0.07004098497,0.07004098497,0.07004098497,0.07004098497,0.07004098497,0.07004098497,0.07004110470,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.06928302568,0.07076038686,0.07076038686,0.07076038686,0.07076038686,0.07076038686,0.07076038686,0.07076038686,0.07076038686,0.07076038686,,,,,,,,,,0.07108795752,0.07108795752,0.07108703751,0.07108703751,0.07108703751,0.07108703751,0.07077787542,0.07077787542,0.07077787542,0.06973390664
1975Q4,0.07121437073,0.07121437073,0.07121437073,0.07118141174,0.07118141174,0.07118141174,0.07118141174,0.07145441055,0.07145441055,0.07145441055,0.07145441055,0.07145441055,0.07145441055,0.07145441055,0.07145441055,0.07145205975,0.07145207882,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07145205975,0.07147086143,0.07147086143,0.07147085910,0.07147085910,0.07147085910,0.07147085910,0.07147085910,0.07147085910,0.07147079568,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07071151185,0.07218660554,0.07218660554,0.07218660554,0.07218660554,0.07218660554,0.07218660554,0.07218660554,0.07218660554,0.07218660554,,,,,,,,,,0.07251367343,0.07251367343,0.07251275483,0.07251275483,0.07251275483,0.07251275483,0.07220406725,0.07220406725,0.07220406725,0.07116170078
1976Q1,0.06820941925,0.06820941925,0.06820941925,0.06823999882,0.06823999882,0.06823999882,0.06823999882,0.06869250774,0.06869250774,0.06869250774,0.06869250774,0.06872084141,0.06872084141,0.06872084141,0.06872084141,0.06872084141,0.06872087002,0.06872084141,0.06872084141,0.06872084141,0.06872084141,0.06872084141,0.06872084141,0.06872084141,0.06872084141,0.06872084141,0.06872084141,0.06872084141,0.06872084141,0.06872084141,0.06872084141,0.06872084141,0.06872084141,0.06872084141,0.06872084141,0.06872084141,0.06872084141,0.06872085094,0.06872085094,0.06872085094,0.06872085094,0.06872085094,0.06872085094,0.06869377136,0.06869377136,0.06869376765,0.06869376765,0.06869376765,0.06869376765,0.06869376765,0.06869376765,0.06778255641,0.06778253370,0.06778253370,0.06778253370,0.06778253370,0.06778253370,0.06778253370,0.06778253370,0.06934008076,0.06934008076,0.06934008076,0.06934008076,0.06934008076,0.06934008076,0.06934008076,0.06934008076,0.06934008076,0.06934008076,0.06934008076,0.06934008076,0.06905153824,0.06905153824,0.06905153824,0.06905153824,0.06905153824,0.06905153824,0.06905153824,0.06905153824,0.06905153824,0.06905153824,0.06905153824,0.06905153824,0.06905153824,0.06905153824,0.06905153824,0.06905153824,0.06905153824,0.06905153824,0.06905153824,0.06905153824,0.06926227666,0.06926227666,0.06926227666,0.06926227666,0.06926227666,0.06926227666,0.06926227666,0.06926227666,0.06926227666,0.06926227666,0.06926227666,0.06926227666,0.06926227666,0.06926227666,0.06926227666,0.06926227666,0.06926227666,0.06933333000,0.06933333000,0.06933333000,0.06933333000,0.06933333000,0.06933333000,0.06933333000,0.06933333000,0.06933333000,0.06948192193,0.06948192193,0.06948100033,0.06948100033,0.06948100033,0.06948100033,0.06917130371,0.06917130371,0.06917130371,0.06812552997
1976Q2,0.07020075798,0.07020075798,0.07020075798,0.07023355961,0.07023355961,0.07023355961,0.07023355961,0.06975066185,0.06975066185,0.06975066185,0.06975066185,0.06978116989,0.06978116989,0.06978116989,0.06978116989,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06978345871,0.06980408192,0.06980408192,0.06980407601,0.06980407601,0.06980407601,0.06980407601,0.06980407601,0.06980407601,0.06977853745,0.06977854143,0.06977854143,0.06977854143,0.06977854143,0.06977854143,0.06977854143,0.06977854143,0.06953450819,0.06953450819,0.06953450819,0.06953450819,0.06953450819,0.06953450819,0.06953450819,0.06953450819,0.06953450819,0.06953450819,0.06953450819,0.06953450819,0.06828475059,0.06828475059,0.06828475059,0.06828475059,0.06828475059,0.06828475059,0.06828475059,0.06828475059,0.06828475059,0.06828475059,0.06828475059,0.06828475059,0.06828475059,0.06828475059,0.06828475059,0.06828475059,0.06828475059,0.06828475059,0.06828475059,0.06828475059,0.06886845981,0.06886845981,0.06886845981,0.06886845981,0.06886845981,0.06886845981,0.06886845981,0.06886845981,0.06886845981,0.06886845981,0.06886845981,0.06886845981,0.06886845981,0.06886845981,0.06886845981,0.06886845981,0.06886845981,0.06866667000,0.06866667000,0.06866667000,0.06866667000,0.06866667000,0.06866667000,0.06866667000,0.06866667000,0.06866667000,0.06901195116,0.06901195116,0.06901102909,0.06901102909,0.06901102909,0.06901102909,0.06870117606,0.06870117606,0.06870117606,0.06765487413
1976Q3,0.07221788883,0.07221788883,0.07221788883,0.07221788883,0.07221788883,0.07221788883,0.07221788883,0.07207735062,0.07207735062,0.07207735062,0.07207735062,0.07207970142,0.07207970142,0.07207970142,0.07207970142,0.07207499981,0.07207503796,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207499981,0.07207970142,0.07207970142,0.07207969788,0.07207969788,0.07207969788,0.07207969788,0.07207969788,0.07207969788,0.07320460519,0.07320455047,0.07320455047,0.07320455047,0.07320455047,0.07320455047,0.07320455047,0.07320455047,0.07256884899,0.07256884899,0.07256884899,0.07256884899,0.07256884899,0.07256884899,0.07256884899,0.07256884899,0.07256884899,0.07256884899,0.07256884899,0.07256884899,0.07081753716,0.07081753716,0.07081753716,0.07081753716,0.07081753716,0.07081753716,0.07081753716,0.07081753716,0.07081753716,0.07081753716,0.07081753716,0.07081753716,0.07081753716,0.07081753716,0.07081753716,0.07081753716,0.07081753716,0.07081753716,0.07081753716,0.07081753716,0.07180954612,0.07180954612,0.07180954612,0.07180954612,0.07180954612,0.07180954612,0.07180954612,0.07180954612,0.07180954612,0.07180954612,0.07180954612,0.07180954612,0.07180954612,0.07180954612,0.07180954612,0.07180954612,0.07180954612,0.07166667000,0.07166667000,0.07166667000,0.07166667000,0.07166667000,0.07166667000,0.07166667000,0.07166667000,0.07166667000,0.07186302722,0.07186302722,0.07186210798,0.07186210798,0.07186210798,0.07186210798,0.07155320385,0.07155320385,0.07155320385,0.07051010614
1976Q4,0.07439278126,0.07439278126,0.07439278126,0.07430500984,0.07430500984,0.07430500984,0.07430500984,0.07447050095,0.07447050095,0.07447050095,0.07447050095,0.07447290897,0.07447290897,0.07447290897,0.07447290897,0.07444047928,0.07444046021,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07444047928,0.07445254803,0.07445254803,0.07445255474,0.07445255474,0.07445255474,0.07445255474,0.07445255474,0.07445255474,0.07537121955,0.07537121734,0.07537121734,0.07537121734,0.07537121734,0.07537121734,0.07537121734,0.07537121734,0.07491770902,0.07491770902,0.07491770902,0.07491770902,0.07491770902,0.07491770902,0.07491770902,0.07491770902,0.07491770902,0.07491770902,0.07491770902,0.07491770902,0.07307768514,0.07307768514,0.07307768514,0.07307768514,0.07307768514,0.07307768514,0.07307768514,0.07307768514,0.07307768514,0.07307768514,0.07307768514,0.07307768514,0.07307768514,0.07307768514,0.07307768514,0.07307768514,0.07307768514,0.07307768514,0.07307768514,0.07307768514,0.07384890085,0.07384890085,0.07384890085,0.07384890085,0.07384890085,0.07384890085,0.07384890085,0.07384890085,0.07384890085,0.07384890085,0.07384890085,0.07384890085,0.07384890085,0.07384890085,0.07384890085,0.07384890085,0.07384890085,0.07366667000,0.07366667000,0.07366667000,0.07433333000,0.07433333000,0.07433333000,0.07433333000,0.07433333000,0.07433333000,0.07439675466,0.07439675466,0.07439583792,0.07439583792,0.07439583792,0.07439583792,0.07408777707,0.07408777707,0.07408777707,0.07304752692
1977Q1,0.07852847099,0.07852847099,0.07852847099,0.07861735821,0.07861735821,0.07861735821,0.07861735821,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898458958,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07898461819,0.07896937847,0.07896937847,0.07896937725,0.07896937725,0.07896937725,0.07896937725,0.07896937725,0.07896937725,0.07834603797,0.07834602829,0.07834602829,0.07834602829,0.07837283075,0.07837283075,0.07837283075,0.07837283075,0.07887867332,0.07887867332,0.07887867332,0.07887867332,0.07887867332,0.07887867332,0.07887867332,0.07887867332,0.07887867332,0.07887867332,0.07887867332,0.07887867332,0.07671969233,0.07671969233,0.07671969233,0.07671969233,0.07671969233,0.07671969233,0.07671969233,0.07671969233,0.07671969233,0.07671969233,0.07671969233,0.07671969233,0.07671969233,0.07671969233,0.07671969233,0.07671969233,0.07671969233,0.07671969233,0.07671969233,0.07671969233,0.07750413069,0.07750413069,0.07750413069,0.07750413069,0.07750413069,0.07750413069,0.07750413069,0.07750413069,0.07750413069,0.07750413069,0.07750413069,0.07750413069,0.07750413069,0.07750413069,0.07750413069,0.07750413069,0.07750413069,0.07733333000,0.07733333000,0.07733333000,0.07766667000,0.07766667000,0.07766667000,0.07766667000,0.07766667000,0.07766667000,0.07788857809,0.07788857809,0.07788766482,0.07788766482,0.07788766482,0.07788766482,0.07758076612,0.07758076612,0.07758076612,0.07654444030
1977Q2,0.07952406883,0.07952406883,0.07952406883,0.07951645851,0.07951645851,0.07951645851,0.07951645851,0.07905731201,0.07905731201,0.07905731201,0.07905731201,0.07899856091,0.07899856091,0.07899856091,0.07899856091,0.07899856091,0.07899855137,0.07899856091,0.07899856091,0.07899856091,0.07899856091,0.07899856091,0.07899856091,0.07899856091,0.07899856091,0.07899856091,0.07899856091,0.07899856091,0.07899856091,0.07899856091,0.07899856091,0.07899856091,0.07899856091,0.07899856091,0.07899856091,0.07899856091,0.07899856091,0.07899857044,0.07899857044,0.07899857044,0.07899857044,0.07899857044,0.07899857044,0.07901115894,0.07901115894,0.07901116427,0.07901116427,0.07901116427,0.07901116427,0.07901116427,0.07901116427,0.07896117892,0.07896116715,0.07896116714,0.07896116714,0.07895386134,0.07895386134,0.07895386134,0.07895386134,0.07879122268,0.07879122268,0.07879122268,0.07879122268,0.07879122268,0.07879122268,0.07879122268,0.07879122268,0.07879122268,0.07879122268,0.07879122268,0.07879122268,0.07794373888,0.07794373888,0.07794373888,0.07794373888,0.07794373888,0.07794373888,0.07794373888,0.07794373888,0.07794373888,0.07794373888,0.07794373888,0.07794373888,0.07794373888,0.07794373888,0.07794373888,0.07794373888,0.07794373888,0.07794373888,0.07794373888,0.07794373888,0.07851652408,0.07851652408,0.07851652408,0.07851652408,0.07851652408,0.07851652408,0.07851652408,0.07851652408,0.07851652408,0.07851652408,0.07851652408,0.07851652408,0.07851652408,0.07851652408,0.07851652408,0.07851652408,0.07851652408,0.07866667000,0.07866667000,0.07866667000,0.07833333000,0.07833333000,0.07833333000,0.07833333000,0.07833333000,0.07833333000,0.07875800217,0.07875800217,0.07875708976,0.07875708976,0.07875708976,0.07875708976,0.07845048042,0.07845048042,0.07845048042,0.07741513171
1977Q3,0.08252013206,0.08252013206,0.08252013206,0.08246217728,0.08246217728,0.08246217728,0.08246217728,0.08228568077,0.08228568077,0.08228568077,0.08228568077,0.08225929260,0.08225929260,0.08225929260,0.08225929260,0.08228828430,0.08228830338,0.08228828430,0.08228828430,0.08228828430,0.08228828430,0.08228828430,0.08228828430,0.08228828430,0.08228828430,0.08228828430,0.08228828430,0.08228828430,0.08228828430,0.08228828430,0.08228828430,0.08228828430,0.08228828430,0.08228828430,0.08228828430,0.08228828430,0.08228828430,0.08228827477,0.08228827477,0.08228827477,0.08228827477,0.08228827477,0.08228827477,0.08228827477,0.08228827477,0.08228827747,0.08228827747,0.08228827747,0.08228827747,0.08228827747,0.08228827747,0.08276287025,0.08276283619,0.08276283619,0.08276283619,0.08275019099,0.08275019099,0.08275019099,0.08275019099,0.08261795689,0.08261795689,0.08261795689,0.08261795689,0.08261795689,0.08261795689,0.08261795689,0.08261795689,0.08261795689,0.08261795689,0.08261795689,0.08261795689,0.08172332776,0.08172332776,0.08172332776,0.08172332776,0.08172332776,0.08172332776,0.08172332776,0.08172332776,0.08172332776,0.08172332776,0.08172332776,0.08172332776,0.08172332776,0.08172332776,0.08172332776,0.08172332776,0.08172332776,0.08172332776,0.08172332776,0.08172332776,0.08236313140,0.08236313140,0.08236313140,0.08236313140,0.08236313140,0.08236313140,0.08236313140,0.08236313140,0.08236313140,0.08236313140,0.08236313140,0.08236313140,0.08236313140,0.08236313140,0.08236313140,0.08236313140,0.08236313140,0.08233333000,0.08233333000,0.08233333000,0.08200000000,0.08200000000,0.08200000000,0.08200000000,0.08200000000,0.08200000000,0.08224345235,0.08224345235,0.08224254338,0.08224254338,0.08224254338,0.08224254338,0.08193709408,0.08193709408,0.08193709408,0.08090566254
1977Q4,0.08392639160,0.08392639160,0.08392639160,0.08383758545,0.08383758545,0.08383758545,0.08383758545,0.08363089561,0.08363089561,0.08363089561,0.08363089561,0.08362828255,0.08362828255,0.08362828255,0.08362828255,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08365435600,0.08366221428,0.08366221428,0.08366221888,0.08366221888,0.08366221888,0.08366221888,0.08366221888,0.08366221888,0.08474375573,0.08474371007,0.08474371007,0.08474371007,0.08473857891,0.08473857891,0.08473857891,0.08473857891,0.08459807434,0.08459807434,0.08459807434,0.08459807434,0.08459807434,0.08459807434,0.08459807434,0.08459807434,0.08459807434,0.08459807434,0.08459807434,0.08459807434,0.08358315904,0.08358315904,0.08358315904,0.08358315904,0.08358315904,0.08358315904,0.08358315904,0.08358315904,0.08358315904,0.08358315904,0.08358315904,0.08358315904,0.08358315904,0.08358315904,0.08358315904,0.08358315904,0.08358315904,0.08358315904,0.08358315904,0.08358315904,0.08407851490,0.08407851490,0.08407851490,0.08407851490,0.08407851490,0.08407851490,0.08407851490,0.08407851490,0.08407851490,0.08407851490,0.08407851490,0.08407851490,0.08407851490,0.08407851490,0.08407851490,0.08407851490,0.08407851490,0.08400000000,0.08400000000,0.08400000000,0.08466667000,0.08466667000,0.08466667000,0.08466667000,0.08466667000,0.08466667000,0.08487574300,0.08487574300,0.08487483664,0.08487483664,0.08487483664,0.08487483664,0.08457026342,0.08457026342,0.08457026342,0.08354179021
1978Q1,0.08383419991,0.08383419991,0.08383419991,0.08395876884,0.08395876884,0.08395876884,0.08395876884,0.08390912056,0.08390912056,0.08390912056,0.08390912056,0.08391173363,0.08391173363,0.08391173363,0.08391173363,0.08390650749,0.08390653610,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08390650749,0.08388300896,0.08388300896,0.08388301182,0.08388301182,0.08388301182,0.08388301182,0.08388301182,0.08388301182,0.08422854917,0.08422858175,0.08422858175,0.08422858175,0.08424379233,0.08424379233,0.08424379233,0.08424379233,0.08428802526,0.08428802526,0.08428802526,0.08428802526,0.08428802526,0.08428802526,0.08428802526,0.08428802526,0.08428802526,0.08428802526,0.08428802526,0.08428802526,0.08311760214,0.08311760214,0.08311760214,0.08311760214,0.08311760214,0.08311760214,0.08311760214,0.08311760214,0.08311760214,0.08311760214,0.08311760214,0.08311760214,0.08311760214,0.08311760214,0.08311760214,0.08311760214,0.08311760214,0.08311760214,0.08311760214,0.08311760214,0.08357567636,0.08357567636,0.08357567636,0.08357567636,0.08357567636,0.08357567636,0.08357567636,0.08357567636,0.08357567636,0.08357567636,0.08357567636,0.08357567636,0.08357567636,0.08357567636,0.08357567636,0.08357567636,0.08357567636,0.08366667000,0.08366667000,0.08366667000,0.08366667000,0.08366667000,0.08366667000,0.08366667000,0.08366667000,0.08366667000,0.08411799171,0.08411799171,0.08411708460,0.08411708460,0.08411708460,0.08411708460,0.08381225919,0.08381225919,0.08381225919,0.08278293437
1978Q2,0.08488274574,0.08488274574,0.08488274574,0.08482129097,0.08482129097,0.08482129097,0.08482129097,0.08429777145,0.08429777145,0.08429777145,0.08429777145,0.08432330132,0.08432330132,0.08432330132,0.08432330132,0.08430035591,0.08430036545,0.08430035591,0.08430035591,0.08430035591,0.08430035591,0.08430035591,0.08430035591,0.08430035591,0.08430035591,0.08430035591,0.08430035591,0.08430035591,0.08430035591,0.08430035591,0.08430035591,0.08430035591,0.08430035591,0.08430035591,0.08430035591,0.08430035591,0.08430035591,0.08430036545,0.08430036545,0.08430036545,0.08430036545,0.08430036545,0.08430036545,0.08429518700,0.08429518700,0.08429518664,0.08429518664,0.08429518664,0.08429518664,0.08429518664,0.08429518664,0.08459028336,0.08459026128,0.08459026128,0.08459026128,0.08459026128,0.08459026128,0.08459026128,0.08459026128,0.08451051224,0.08451051224,0.08451051224,0.08451051224,0.08451051224,0.08451051224,0.08451051224,0.08451051224,0.08451051224,0.08451051224,0.08451051224,0.08451051224,0.08417408149,0.08417408149,0.08417408149,0.08417408149,0.08417408149,0.08417408149,0.08417408149,0.08417408149,0.08417408149,0.08417408149,0.08417408149,0.08417408149,0.08417408149,0.08417408149,0.08417408149,0.08417408149,0.08417408149,0.08417408149,0.08417408149,0.08417408149,0.08477992484,0.08477992484,0.08477992484,0.08477992484,0.08477992484,0.08477992484,0.08477992484,0.08477992484,0.08477992484,0.08477992484,0.08477992484,0.08477992484,0.08477992484,0.08477992484,0.08477992484,0.08477992484,0.08477992484,0.08466667000,0.08466667000,0.08466667000,0.08466667000,0.08466667000,0.08466667000,0.08466667000,0.08466667000,0.08466667000,0.08510686094,0.08510686094,0.08510595481,0.08510595481,0.08510595481,0.08510595481,0.08480145852,0.08480145852,0.08480145852,0.08377324505
