TERMS AND CONDITIONS
https://www.bankofcanada.ca/terms/

NAME
"Unemployment rate"

DESCRIPTION
"Scroll down for data."

LINK
"https://www.bankofcanada.ca/?p=201766"

SERIES
id,label,description
SWP-URATE1994Q4,"URATE - Staff Projection 1994Q4","Unemployment rate - Staff Projection 1994Q4"
SWP-URATE1995Q1,"URATE - Staff Projection 1995Q1","Unemployment rate - Staff Projection 1995Q1"
SWP-URATE1995Q2,"URATE - Staff Projection 1995Q2","Unemployment rate - Staff Projection 1995Q2"
SWP-URATE1995Q3,"URATE - Staff Projection 1995Q3","Unemployment rate - Staff Projection 1995Q3"
SWP-URATE1995Q4,"URATE - Staff Projection 1995Q4","Unemployment rate - Staff Projection 1995Q4"
SWP-URATE1996Q1,"URATE - Staff Projection 1996Q1","Unemployment rate - Staff Projection 1996Q1"
SWP-URATE1996Q2,"URATE - Staff Projection 1996Q2","Unemployment rate - Staff Projection 1996Q2"
SWP-URATE1996Q3,"URATE - Staff Projection 1996Q3","Unemployment rate - Staff Projection 1996Q3"
SWP-URATE1996Q4,"URATE - Staff Projection 1996Q4","Unemployment rate - Staff Projection 1996Q4"
SWP-URATE1997Q1,"URATE - Staff Projection 1997Q1","Unemployment rate - Staff Projection 1997Q1"
SWP-URATE1997Q2,"URATE - Staff Projection 1997Q2","Unemployment rate - Staff Projection 1997Q2"
SWP-URATE1997Q3,"URATE - Staff Projection 1997Q3","Unemployment rate - Staff Projection 1997Q3"
SWP-URATE1997Q4,"URATE - Staff Projection 1997Q4","Unemployment rate - Staff Projection 1997Q4"
SWP-URATE1998Q1,"URATE - Staff Projection 1998Q1","Unemployment rate - Staff Projection 1998Q1"
SWP-URATE1998Q2,"URATE - Staff Projection 1998Q2","Unemployment rate - Staff Projection 1998Q2"
SWP-URATE1998Q3,"URATE - Staff Projection 1998Q3","Unemployment rate - Staff Projection 1998Q3"
SWP-URATE1998Q4,"URATE - Staff Projection 1998Q4","Unemployment rate - Staff Projection 1998Q4"
SWP-URATE1999Q1,"URATE - Staff Projection 1999Q1","Unemployment rate - Staff Projection 1999Q1"
SWP-URATE1999Q2,"URATE - Staff Projection 1999Q2","Unemployment rate - Staff Projection 1999Q2"
SWP-URATE1999Q3,"URATE - Staff Projection 1999Q3","Unemployment rate - Staff Projection 1999Q3"
SWP-URATE1999Q4,"URATE - Staff Projection 1999Q4","Unemployment rate - Staff Projection 1999Q4"
SWP-URATE2000Q1,"URATE - Staff Projection 2000Q1","Unemployment rate - Staff Projection 2000Q1"
SWP-URATE2000Q2,"URATE - Staff Projection 2000Q2","Unemployment rate - Staff Projection 2000Q2"
SWP-URATE2000Q3,"URATE - Staff Projection 2000Q3","Unemployment rate - Staff Projection 2000Q3"
SWP-URATE2000Q4,"URATE - Staff Projection 2000Q4","Unemployment rate - Staff Projection 2000Q4"
SWP-URATE2001Q1,"URATE - Staff Projection 2001Q1","Unemployment rate - Staff Projection 2001Q1"
SWP-URATE2001Q2,"URATE - Staff Projection 2001Q2","Unemployment rate - Staff Projection 2001Q2"
SWP-URATE2001Q3,"URATE - Staff Projection 2001Q3","Unemployment rate - Staff Projection 2001Q3"
SWP-URATE2001Q4,"URATE - Staff Projection 2001Q4","Unemployment rate - Staff Projection 2001Q4"
SWP-URATE2002Q1,"URATE - Staff Projection 2002Q1","Unemployment rate - Staff Projection 2002Q1"
SWP-URATE2002Q2,"URATE - Staff Projection 2002Q2","Unemployment rate - Staff Projection 2002Q2"
SWP-URATE2002Q3,"URATE - Staff Projection 2002Q3","Unemployment rate - Staff Projection 2002Q3"
SWP-URATE2002Q4,"URATE - Staff Projection 2002Q4","Unemployment rate - Staff Projection 2002Q4"
SWP-URATE2003Q1,"URATE - Staff Projection 2003Q1","Unemployment rate - Staff Projection 2003Q1"
SWP-URATE2003Q2,"URATE - Staff Projection 2003Q2","Unemployment rate - Staff Projection 2003Q2"
SWP-URATE2003Q3,"URATE - Staff Projection 2003Q3","Unemployment rate - Staff Projection 2003Q3"
SWP-URATE2003Q4,"URATE - Staff Projection 2003Q4","Unemployment rate - Staff Projection 2003Q4"
SWP-URATE2004Q1,"URATE - Staff Projection 2004Q1","Unemployment rate - Staff Projection 2004Q1"
SWP-URATE2004Q2,"URATE - Staff Projection 2004Q2","Unemployment rate - Staff Projection 2004Q2"
SWP-URATE2004Q3,"URATE - Staff Projection 2004Q3","Unemployment rate - Staff Projection 2004Q3"
SWP-URATE2004Q4,"URATE - Staff Projection 2004Q4","Unemployment rate - Staff Projection 2004Q4"
SWP-URATE2005Q1,"URATE - Staff Projection 2005Q1","Unemployment rate - Staff Projection 2005Q1"
SWP-URATE2005Q2,"URATE - Staff Projection 2005Q2","Unemployment rate - Staff Projection 2005Q2"
SWP-URATE2005Q3,"URATE - Staff Projection 2005Q3","Unemployment rate - Staff Projection 2005Q3"
SWP-URATE2005Q4,"URATE - Staff Projection 2005Q4","Unemployment rate - Staff Projection 2005Q4"
SWP-URATE2006Q1,"URATE - Staff Projection 2006Q1","Unemployment rate - Staff Projection 2006Q1"
SWP-URATE2006Q2,"URATE - Staff Projection 2006Q2","Unemployment rate - Staff Projection 2006Q2"
SWP-URATE2006Q3,"URATE - Staff Projection 2006Q3","Unemployment rate - Staff Projection 2006Q3"
SWP-URATE2006Q4,"URATE - Staff Projection 2006Q4","Unemployment rate - Staff Projection 2006Q4"
SWP-URATE2007Q1,"URATE - Staff Projection 2007Q1","Unemployment rate - Staff Projection 2007Q1"
SWP-URATE2007Q2,"URATE - Staff Projection 2007Q2","Unemployment rate - Staff Projection 2007Q2"
SWP-URATE2007Q3,"URATE - Staff Projection 2007Q3","Unemployment rate - Staff Projection 2007Q3"
SWP-URATE2007Q4,"URATE - Staff Projection 2007Q4","Unemployment rate - Staff Projection 2007Q4"
SWP-URATE2008Q1,"URATE - Staff Projection 2008Q1","Unemployment rate - Staff Projection 2008Q1"
SWP-URATE2008Q2,"URATE - Staff Projection 2008Q2","Unemployment rate - Staff Projection 2008Q2"
SWP-URATE2008Q3,"URATE - Staff Projection 2008Q3","Unemployment rate - Staff Projection 2008Q3"
SWP-URATE2008Q4,"URATE - Staff Projection 2008Q4","Unemployment rate - Staff Projection 2008Q4"
SWP-URATE2009Q1,"URATE - Staff Projection 2009Q1","Unemployment rate - Staff Projection 2009Q1"
SWP-URATE2009Q2,"URATE - Staff Projection 2009Q2","Unemployment rate - Staff Projection 2009Q2"
SWP-URATE2009Q3,"URATE - Staff Projection 2009Q3","Unemployment rate - Staff Projection 2009Q3"
SWP-URATE2009Q4,"URATE - Staff Projection 2009Q4","Unemployment rate - Staff Projection 2009Q4"
SWP-URATE2010Q1,"URATE - Staff Projection 2010Q1","Unemployment rate - Staff Projection 2010Q1"
SWP-URATE2010Q2,"URATE - Staff Projection 2010Q2","Unemployment rate - Staff Projection 2010Q2"
SWP-URATE2010Q3,"URATE - Staff Projection 2010Q3","Unemployment rate - Staff Projection 2010Q3"
SWP-URATE2010Q4,"URATE - Staff Projection 2010Q4","Unemployment rate - Staff Projection 2010Q4"
SWP-URATE2011Q1,"URATE - Staff Projection 2011Q1","Unemployment rate - Staff Projection 2011Q1"
SWP-URATE2011Q2,"URATE - Staff Projection 2011Q2","Unemployment rate - Staff Projection 2011Q2"
SWP-URATE2011Q3,"URATE - Staff Projection 2011Q3","Unemployment rate - Staff Projection 2011Q3"
SWP-URATE2011Q4,"URATE - Staff Projection 2011Q4","Unemployment rate - Staff Projection 2011Q4"
SWP-URATE2012Q1,"URATE - Staff Projection 2012Q1","Unemployment rate - Staff Projection 2012Q1"
SWP-URATE2012Q2,"URATE - Staff Projection 2012Q2","Unemployment rate - Staff Projection 2012Q2"
SWP-URATE2012Q3,"URATE - Staff Projection 2012Q3","Unemployment rate - Staff Projection 2012Q3"
SWP-URATE2012Q4,"URATE - Staff Projection 2012Q4","Unemployment rate - Staff Projection 2012Q4"
SWP-URATE2013Q1,"URATE - Staff Projection 2013Q1","Unemployment rate - Staff Projection 2013Q1"
SWP-URATE2013Q2,"URATE - Staff Projection 2013Q2","Unemployment rate - Staff Projection 2013Q2"
SWP-URATE2013Q3,"URATE - Staff Projection 2013Q3","Unemployment rate - Staff Projection 2013Q3"
SWP-URATE2013Q4,"URATE - Staff Projection 2013Q4","Unemployment rate - Staff Projection 2013Q4"

OBSERVATIONS
